"","artist","lyrics","year"
"11","A Boogie Wit Da Hoodie","[Verse]
I hope that girl gon ride
I wrote you one day when I wasn't so live
You opened my message but never replied
I glo'd up, you hoe'd up, I laugh every time now
I can't go to the mall 'cause bitches chase me every time
And I just might go to war, that's why I keep a .45, shit
They probably want me to hold it, they wishin' for indictments
Looking for evidence but they never caught me typing
Except for this letter I wrote for my guy
Noon got knocked, how he 'posed to raise little Dada?
Rapping with a melody, got em like nana-nana
Your girl top me and four of my bros, she top five
I still think about you, but why try","2017"
"12","PnB Rock","[Verse]
Oh, yeah
Last year I was locked up, I was in a cell
This year now I'm on charts, I'ma give 'em hell
Been through a lot of shit
Before I ever seen the fame and the glory
Before you judge me and think you above me
Lemme tell you a story
Yeah, let me take you way back
I'm talkin' way, way before the deal
Yeah, I'm talkin' way, way back
Back when shit was super real
My mama have five boys
Three baby daddies, two of 'em got killed
The other one was a deadbeat
Might as well say that nigga got killed
Growin' up without a dad
Always had it bad, we was in and out of shelters
Crazy how we had family all around the world
And really, ain't nobody really help us
My mama went and got a boyfriend that beat her ass
I remember feelin' helpless
Swear, I wish I could fucking catch him
Swear, man, I would fuckin' wet him
Yeah, shit, uh
Man, it's crazy how the times change
'Cause lately I've been in a different mind frame
And lately I've been thinkin' 'bout the bigger picture
Thinkin' 'bout my brother, man, I miss that nigga
When he got killed that night I wish that I was with that nigga
Swear, I wish heaven was like jail when I could visit niggas
Speakin' of visits, I'm screaming ""free Shotty""
Can't even lie, I need the go see Shotty
Lately I've been trippin', I've been actin' different
I've been fake busy, I've been fuckin' all these bitches
Sometimes I got caught up in the fame
But my loyalty to you will never change, bro, don't get it twisted
My mama and my baby mama say that I been distant
But really I just been takin' care of business
Think about this shit in a couple months
Leave it up to me and we all gon' be livin' different
I'm talkin' big houses, big cars, and big business
I'm tryna put my niggas in the good position
I'm tryna pay Milan whole school tuition
So she ain't gotta worry 'bout these fuck niggas
I'm teachin' her right now not to trust niggas
And anything that she need, she can call me
Don't worry 'bout her, that's my seed, yup, that's all me
Just know if you cross her then you cross mePressure, this for all my niggas that done left for us
And everybody tellin' me I'm next up
I gotta stay strong through it all
And act like I ain't goin' through it all, through this pressure
Oh, yeah","2017"
"13","Playboi Carti","[Verse]Uh, yeah, hide it in my sock
Hide it in my sock, ooh
Serving that rerockFirst I park my car, uh
Then I pour the Wock, uh
I'm a Wock-star, uh
I'm a pop star, ayy
Pop a lot of beans, ayy
She just on the team, ayy
She just wanna fiend, ayy
She just want a drink, ayyI just got a new hoe, that's my favorite bitch, ayy
I just got a new watch, diamonds on my wrist, ayyYeah, ayy, nigga watch this, ayy, LV's up, uh
Kim Jones in my line, had the plug up, ayy
All these hoes wanna fuck 'cause my money up, ayy
Counting all this cash got a nigga money tired, ayy
Nigga ain't right then a nigga getting firedI don't really fight nigga, hit 'em where he lying, ayy
Stop the capping, stop the lying","2017"
"14","Ugly God","[Verse]It's the Booty Gang captain
Talkin' shit to me is history
I hit your crib malicious
Charge your bitch just for an entrance feeUgly God finesse the booty live on MTVAnd slide up in your bitch just like a missing piece
XXL got me acting wildNow why the fuck you dusty bitches smokin' Black & Milds?
Actin' childish, just give it a rest
I get in her breast easy
Splash on your main bitch and then give her my next CDI came up off of water like Dasani and Fiji
And I might fuck your main bitch, boy
You just gotta believe meYoung Obama, bitch, I kick it with your bitch in TahitiAnd I'll be beatin' my meat until they impeach me
Slayin' booty since day one, you can't question thatMade my own beats and made some moves and wrote some extra raps
And all the hoes be sayin' that young Ugly God the best at that
So suck my dick on soft and never text me back","2017"
"15","KYLE","[Verse]
When I think about you, life is not as bad
Gas prices ain't as high, and sad movies are not as sad
I pray to God I never break yo' heart and end up like my dad
I don't think he ever planned to fail, he just failed to plan
So I don't use the calendar, it's not in my genetics though
Nolan Cole's on his iPhone so I don't sweat it yo'
Customized by living a life of never having shit
So I just learned this dance and rapping shit to go get it yo'
Jeezy it was easy to sing like R Kelly on a empty bellyLike Helen Keller ain't nobody could tell me nothing
I knew my shit was slappin', I knew my bass was bumpin'I used to sound like Drake dude, tell me who fucking doesn'tBut I was 13 so fuck it, oh well
I'm 23 and I'm trying to be as cool as Pharrell
Like for real, who's gon' be on top? You never can tellGot homies on the block that went from Deebo to Ezal
I told them ""I'd rather be Craig,"" make music, make money instead
It's funny how the things keeping me fed, bought me a bedAll came from my head","2017"
"16","MadeinTYO","[Verse]Probably in Japan, chopsticks in my hand with that '05 Bape
Rick Owens on my pants, all my tracks slick, oh, need a track fit
Steph Curry with the husk, GQ with the looks
I wonder what my son be thinking
Cook cook cook, no apron
Mumble on the beat when you blazing
Make sure you look good 'cause they taping
Human Made on, no Bathing
Save no hoes, no cape manThis that mumble rap, mumble rap
Old heads really want none of that, yeah, they want none of that
Oh, they want none of that
That mumble rap, mumble rap
Old heads really want none of that, yeah, they want none of that
Oh, they want none of that","2017"
"17","Kamaiyah","[Verse]Straight up outta Oakland
The dopest hip-hop chick
That you probably ever seen
Do this hip-hop shit
I drop hip-hop hits
You's a flip-flop bitch
I got labels on the line tryna get my shit
It's imperative
That we never reside at the sharing
The split checks, we sharing it
Rap cliques, embarrassed 'em
Kill everything
They think that we ain't better than
Got no flaws, I carried it
Bad broad, no parenting
Mams did not raise me, Pops could not save me
I'm wavy, I'm swazyY'all chick's fugazy
How y'all even made it in the game still amaze meI'm a B in the hall of fame like I'm Jay-Z for realCan't touch me like I'm tall, like Shaquille
Y'all like to squeal
All my dawgs out to kill
To my haters, show no favors
'Till we all got a deal and even still
We'll be chillin' in a house on the hill
La famille","2017"
"18","Kap G","[Verse]
I wanna get me a Wraith, I wanna get me a Wraith
I wanna get me a Wraith, I wanna get me a Wraith
I wanna get me a Wraith, I wanna get me a Wraith
I wanna get me a Wraith, I wanna get me a Wraith
Got it on my own, undocumented
Yeah I represent it, plus I drive a BentleyMaster Splinter when they asses spit it
I pad the finish, the cash I get it
In labs I'm chemist, the bag ascended
The crack is in it
Puttin' nothin' out but dope shit
So you know the 'migo very focused
Plus I ain't never goin' back to broke shit
Now you actin' like my bro, shit
Nothin' less than a hunnid
If I speak it it's the truthThey sayin' I'm slept on
I'm Tempur-Pedic in the booth
Won't repeat it, don't you snooze
HD when I drop them jewel
No late fees, just pay your due
Pay me in hunnids we cool
I was at the [?], now I'm 'bout to buy a safe
Proved 'em, went and bought a Wraith
That shit really motivate
Now my name holdin' weight
Shooters with me, Golden State
We about to overtake
Tell Trump we broke the gate
I grew up on Weezy F, fuck the street with BMF
Stealin' out the CVS, we were kids PBSDJ Khaled, We the Best
And they don't wanna see us blessed
Gave us seaweed from the west
Now she Fiji, got her wet
Kap G, you dig what I'm sayin'","2017"
"19","Aminé","[Verse]
I woke up on this Sunday
With no motivation in my body, no woah woahPhone dryer then MojaveDaddy diabetic so he eat his pancakes with agave
Mama headed to the church now
And she left me at the house, she left me at the house
Religious but I'm lazy
Naked like a nudist, Fruity Loops and Stanley Kubrick
Peanut butter jelly, cousin bumping Makaveli
Sippin' Stellas with my fellas bumping nothin' but Fela Kuti
Groupies say they wanna do me, truly that feel like a blessing
But finding one to love is getting harder every second
Niggas'd rather be single than see a wedding day
Niggas'll either end up at heaven or Kevin's Gates
I bench press my problems, like add another weight
And act like it's alright when it's not, woah
Some days we get sun days, but most days the rain comes down
And I feel like I'm bound to drown
Jesus Christ, woah
Truth is my religion, my beliefs are not forgiven","2017"
"20","XXXTENTACION","[Verse]And hell is just a government creation
And all the information they solicit isn't nearly close to truth
It was clear since the alterationOf the books our children study when they said Columbus discovered America, oh, the ultimatumOf telling you the truth but oh well I'm already in hell
I'm tired of havin' patienceSo I'ma sell my soul and say some shit that fuckin' bothers youJesus wasn't white nor black, I can't knock it
Was somewhat a Arab and one hell of a prophetDon't understand why J. Cole talkin' 'bout false prophets
But didn't mention higher-ups
Change your name to Amber Cole
These fucking entertainers is playing it by the rules
Sucking government dick for safety to stay cool
I'm absolutely disgusted by all of you motherfuckers
Tie your throat to a truck bed and pedal the metal quickly","2017"
"21","Smokepurpp","Bitch, I'm with the robbers
Young handsome nigga, I fuck on your daughter
Drippin' with all of this water
VVS diamonds cost me 'bout a quarter
Bust down, yeah
Young rich nigga, I really can't pipe down
Lil' bitch really wanna pipe now
Boyfriend mad so I really wanna fight now
I don't give a fuck though
Young nigga hang with the cutthroats
Lil' bitch pussy, I'ma bust though
Nigga, touch me and I'm really from the bust though, hey
Ridin' round town with a thot bitch
And I just really want the top, bitch
Lil' Purpp really is on top, bitch
Lil' Purpp turn it up a notch, bitch
Yeah boy, I feel like Young Scooter
Yeah, fuck that lil' bitch, take a flight to Bermuda
She give me brain like a tutor, huh
Fuck that lil' bitch, she ride me like a scooter
Lil' Purpp","2018"
"22","J.I.D","[Verse]
Fuck what a nigga say because my mama think I made it
Lift my head to the skies, I try to begin prayer
Thanks to the maker, got me out of an awful placeMy nigga gone for 17 years like a cicada
More than a motivator, immortal and innovative
A dorsal and with pectoral fins
Swimming through the waves in course of habeas corpus
I'm orbitin' through my days, I'm fortunate
I ain't come in this bitch to be fuckin' famous
I just hope when you hear me that you hold me in high regards
Not as high as your God
Maybe the stars moving a couple mountains ajarAjayi, a juke move fitted up the side line, then a pylon
Biddy-bye-bye, di-did-di-die nowWe don't let bygones be bygones
We buy guns and squeeze like a python until the night come
The bear to right, uhm, the right to bear arms so we could fightI get my shine on, Belt of Orion, cut on the lightsAnd when I die just take me to Zion and kill me twice
It's like my second life, my second-second line
I put this noose around my neck just to accessorize
Ridin' in this coupe terrified12 try and petrify a nigga with petty crimes
""How you feel about me don't matters like black lives
Nothin' even matters, dog,"" I heard that when I was five
That's around the same time my big brother had shown me his .9 and let me hold it
Literally what I call a 9 to 5
Ten times out of nine, I prolly wouldn't survive
But sun do what my gun do, rise
Guns drew, this the last hoorah
Takin' lives 'fore you dudes take mine
Take your time, these things take time, tickin', tickin'
Typical flow to keep you niggas on the tip of your toes
Lo and behold, make your temple explode
Give and go, pick and roll
Never listen to the rigmaroleThis rigor mortis make your temperature cold
Woah, woah, I don't troll, bro, I been in my mode
I'm a full schizo with a duel Pistol, that's a cool visual
That pocket missle pop a pimple, hit him, he bent over
Give me the tempo, bika-bow, bika-bow-da-boomIt's a elephant and cow in the room
I'm in the Prague, bruh, how ya doin'?
You better bounce 'fore I make a move
Don't got the juice like you say you do
I'm finna be like a saber-tooth
Wreck a roof, any booth, anybody get it too, you ain't invisible
Shootin' at us, metaphysical, put 'em in critical, critical, uh
Finna get 'em, finishin' 'em, benefit 'em, then I'm finished with 'em","2018"
"23","Ski Mask The Slump God","You and yo'—, you and yo'—You and yo' bitch kinda resemble Billy and MandyMy bitch like Sandy
'Cause of the cheeks
Rode on my dick and said ""It was so dandy""Yippee ki-yay
I heard Freddie don't fuck with the fedsYellow bitches on me like LemonheadRun up my sack like Ed and Edd and EddyRed and black sweater like my name is Freddy
Color spaghetti
Eyes so messy, pea-coat khaki
Never lackin', keep that .30 in my jacket
Look at the diamonds, they on hush mode
'Cause I bought diamonds for they ex hoe
It be so clear and so see through
Like a nigga lookin' through the peephole, uhI just send them ""XD rawr""
When I be texting your whore
Look at candy paint on car
It's brown like the Noah's Ark
Hit a stain like Mr. Clean
And put a nigga on game like Atari
Know how a nigga rockin' like guitar
What I'm smoking smellin' like a fart
Like Hercules, strong on these bitches, they back on knees
Back in that bitch like, ""What's happening?""
Jump in that pussy like trampoline
Made that pussy sound like mac and cheese
When I hit it I'm just practicing
They be like, ""Ski, you be snappening""
Teach me the ways of the saucin' king, hah?","2018"
"24","Stefflon Don Freestyle","I can keep it coming 50 to 100, I been making mummy proud, ah
Pulled up in the maddest ting, you can hear me coming from 100 miles, ah
I'm the realest ting, bitches imitating but this is my sound, yo
When you step inna the UK ask the realest niggas what I'm about, yo
Titty big and the batty too
Ride the cocky like I'm 22
I could care less where your hair's from 'cause your lace fronts kinda showing boo
Blood clot, dem a send for all real dun-da-da
Pull up in a Maserati with a sawn-off shotty
I got body, she got bodies
My ting good, my ting mad
Fucking with me, have you gone mad?
I speak my mind, say how I feel
Sometimes I feel I'm too real
Bitches cooking but that taste off
That sauce fake, that's bellyache
If I'm coming, that mask off
That's 1-8-7, I'm in your face","2018"
"25","Lil Pump","Ouu, ayy
Pinkie ring froze, pinkie ring frozePinkie ring covered in gold
Too much diamonds on my neck, think I might choke
Had a threesome with your bitch with my eyes closed
Tell my side hoe bring it through the back door, oh!
I got eighty-thousand in my envelope, ouuI just got a ""Gucci Gang"" medal though
Damn, I got some homies that went federal, ouuLook at my two-tone Patek
I smash a hoe then forgetI got a fridge on my neck
I'm smokin' gas on a jet
Ouu, I love to flexOuu, blew out two million that Tootsie's, ayy
I made your auntie a groupie, ouu
And you know my life a movie, ayy
I got sticks like Call of Duty, ouu","2018"
"26","Wifisfuneral","Ayy, I see dead people when I'm walking outside
I was raised to be on my shit, stay ten toes outside
Like is you really down to ride? Don't think you live this life
I could walk to hell and back, you know I'll be alright
I told my dog to watch my back 'cause him and I, we can't lack
Keep it silent when I'm walking, I stop tweaking with the flats and
I just made a call to Rex, see us on FaceTime with the strap
Down pat racked up on thirty bands, you know that
Usain Bolt to the guap, fall flat
Hurricane Chris my fist, oh yeah
Hold up shawty, you know that I tweak, ayy
Beams got me geeking, shit I bit down on my cheek, ayy
Pulled up in that Royce like who that there, like shit it's weef, ayy
Long way just from trapping out your mommy, shit I see, ayy
Thirty on the bezel, damn like yeah that's just a piece, ayy
I can't fuck no hoes, that bitch contagious like a sneeze, ayy
Blow pounds of the gas in outer space, you know my steez, yeah
Blow pounds of the gas in outer","2018"
"27","YBN Nahmir","My mom tatted on my arm, 'cause she mean a lot
I ain't never had no dad, never had no pops
I was always on that block, clutching on that Glock
Only way you leave the gang if it's in a box
Hard nights, it was cold, we ain't have no heatAnd my bro passed away, I was sixteen
Had to get off my ass and get off in 'em streets
We ain't even have no water in that fucking sink
But now I'm up and I'm a stay focused and get the paper
Had to get my money up, rocking with the stainless
Any nigga disrespect, brother he gon' spank him
And I ain't playing with these niggas, leave a nigga dangerous
Stitched lips, be quiet, don't say shit
Stick together, that's how my little niggas made it
And I ain't fucking with no bitch if she basic
She ain't fucking for the free, this a fee for this famed dick
Fuck","2018"
"28","BlocBoy JB","XXL, give your bitch the dick and it XXL
Running from the cops, yeah, we running from 12
If I see a opp, I'm a dump a hundred shells
I don't fuck with Screech, not Saved by the Bell
Ya'll niggas never ever met the cartel
I was walking 'round with 'bout thirty Glock shells
Have you ever smelt the gunpowder?
Pull up on your block like Bowser
Spitting all this fire, ya'll niggas liars
Yo bitch lick the dick like it was a pacifier
I'm a real nigga, I ain't never been a liar
I'm a real nigga, I ain't never been a liar
We can't play no games with no suckersI don't like these niggas, Uncle Ruckus
These niggas hating, I can't trust 'em
Pull up with the chopper late night, I'm a bust 'em","2018"
"29","Trippie Redd","Uh, take a vivid picture, no photos
Implement that shit in to your mind just so you know though
Sucker free living, I'm a say that that's the motto
So for any nigga on that sucker shit, I'm no hoe, broMight just have to drop a bomb, Han SoloGot me bicken back being bool, Quasimodo
All about my paper, got to get my fucking dough, hoe
Always on the fucking go go, you a bitch like Tony Romo
Niggas came around, now they extinct like Dodos
Meanwhile I'm in New York fucking up SoHo
Just bagged a new chick, Caroline, nicknamed Coco
Took her to the telly, now little baby going loco
She just give me face, ain't no fucking, that's a no no
And she going thirty early, dirty no soap though
I laugh at the haters, everything they say a joke though
And I'm screaming ""Fuck 12,"" all these foul ass po-po
Yeah, uh, but nowadays I really miss my fucking idols
So that's the title, I grab a bible, pray for my rivals
Dead on arrival, I swear this shit to me like a cycle
Bodies in piles, blood rivers resemble Niles
They need survival, they need to rehearse a recital
I just sit back and listen to old Wayne songs and
Get dome from a bitch while I brainstorm
And spit flames while also making it rain, storm
You see, I can't ignore, and you niggas don't see it's in your brain
And snore, and you sleep on me until you can't no more and
Don't fake on me and try to play the boy
I don't know why I feel like nobody loves me
Or why they feel like my intentions something ugly
Or why I feel like everyone needs something from me
Or why I feel like everyone just saying ""Fuck me""
Or why I feel like the opposition gon' bust me
If I gave you my heart, would you still love me?
Lately, baby I feel like nobody trust me, is it just me?","2018"
"30","Ab Soul","The sum of all fears is a and billion and three
More of a reason why everybody's scared of meCause ain't nobody sayin' nothin' rare to me
Just comedy, or a parody
You could suck two dicks for comparin' me
To any rapper that fits in this category
Section 80's baby, pray you follow me home
See my habits, my contradictions and my systems of controlTop Dawg EntertainmentThey saying we saviours like this ain't dope we slanging, hopeYou can get a feel for the skill like the famous coachAin't need a ring on my finger to be a championYou can't be on my level, you'd get expired
We was racing on unicycles, I wouldn't be the one tiredSoulo Ho3, well known from Del Amo to SoHo hoDon't stop, roll more dro till you comatoseMy egg's fried, probably why I like omelets the mostLonnie wanted me to vote, I love Lonnie but no
See I ain't into politics and shit, I got my own poleWhat's the difference between a person and a human?
One of 'em is free, the other one is stupid
And I'm caught in between the two, which direction are you in?Put a ""Yo"" in front of ""universe"" and tell me what do you get?","2013"
"31","Action Bronson","Winter time, the Beamer color Danny Glovers neck
Better be careful who you runnin' with
I'm at the top of the food chain there's blood inside the waterI had to grow up fast because I had to feed my daughter, right
Make this right at the lightPop a Uie lite the ooeyNow I'm higher than some Ewing'sBreezing on the belt
Rocking sheep skin sheeps at bay
Damn Bronson why you be that wayBitch I'm still that same motherfucker that you know from youth
From goof troopNow you sticking drugs inside your poop shoot
New Coupe on the duce felxin' heavy
Perfect plex her pussy at the Getty
I'm alpha feddie
Pull the limo on the lawnJump out I'm just hallucinating, acid and a Knicks hat
Burner in her dress pants
Knife inside my left hand
Now theres just a dead lamb
Tryin' to feed my famOoh yeah, ten golden grams
No bears
Fold paper like chairsPulled off capers by the stairs
Capers on the veal piccataLost paper cuz Prince Fielder couldn't field a fucking pop up
Fucking bastard, it's me","2013"
